"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1.62","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.99,0.973517224189679,96289,0.975168697381224,94548,0.3678084159585,144017,0.361682331837587,144017
"1.72","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.97,0.966411281367977,112575,0.968382493383176,109947,0.475913587335118,144017,0.466169241631678,144017
"1.82","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.95,0.961330182029274,120585,0.963488005454003,117345,0.539836662649794,144017,0.527288796666721,144017
"13","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9999,0.984628098912285,67783,0.985470381895612,67347,0.217990196402477,144017,0.216720669699043,144017
"1.13","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9997,0.983879994430128,70960,0.984689562089609,70483,0.234193235265459,144017,0.232726715720323,144017
"1.23","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9995,0.983500481577616,72925,0.984368047897214,72413,0.243867824087336,144017,0.242273624573657,144017
"1.33","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.999,0.982519788794214,75999,0.983407557565805,75423,0.260214464928358,144017,0.258371545770761,144017
"1.43","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.997,0.980523441099568,83302,0.981513593699708,82554,0.298846906413345,144017,0.296382623334964,144017
"1.53","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.995,0.979546433682858,88038,0.980578857937973,87199,0.325233971576899,144017,0.322383485884732,144017
"1.63","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.99,0.977135164527027,96289,0.978304276778808,95233,0.373847358439252,144017,0.370209439624675,144017
"1.73","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.97,0.971506656937703,112575,0.972855295254051,111019,0.48549152817959,144017,0.4797995706261,144017
"1.83","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.95,0.967560755404704,120585,0.969123952712746,118691,0.551968406122886,144017,0.544713518065096,144017
"14","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9999,0.983168837810857,67783,0.984217836070599,67116,0.215965922493753,144017,0.214002115010495,144017
"1.14","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9997,0.982386740350029,70960,0.983377949280212,70229,0.232001252104581,144017,0.229750794107016,144017
"1.24","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9995,0.981968477072008,72925,0.983012396530556,72140,0.241563037108026,144017,0.239121813755818,144017
"1.34","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.999,0.980927834890058,75999,0.981994740898782,75126,0.257694696063618,144017,0.254926942602849,144017
"1.44","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.997,0.978768031065395,83302,0.979969879954366,82187,0.295818436741347,144017,0.292216152007445,144017
"1.54","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.995,0.977740388620066,88038,0.979037271255358,86791,0.321941193706019,144017,0.317829322552954,144017
"1.64","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.99,0.975162247183454,96289,0.976638118962923,94737,0.369924177077058,144017,0.364702523684442,144017
"1.74","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.97,0.969111238010638,112575,0.970925032992013,110272,0.479818207178218,144017,0.471638355102177,144017
"1.84","Multinomial(max.avg.min.sd.median)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.95,0.964911611449738,120585,0.966919377764091,117827,0.545280670144229,144017,0.53496368568678,144017
