"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"12","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.9999,0.99889101359831,1965759,0.999043901614523,1964233,0.336646135382503,2959277,0.336399741463972,2959277
"1.12","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.9997,0.998848178360543,2143344,0.998998192965171,2141630,0.386816846913202,2959277,0.386533454699222,2959277
"1.22","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.9995,0.998827283385316,2260350,0.998973560294616,2258535,0.422138904923243,2959277,0.421837792227247,2959277
"1.32","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.999,0.998782822213582,2440687,0.998921459802773,2438713,0.478819075415976,2959277,0.478481377280458,2959277
"1.42","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.997,0.998567276235106,2682827,0.998703554610757,2680406,0.574409543217135,2959277,0.573982237545885,2959277
"1.52","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.995,0.998346104886264,2739291,0.99848249539112,2736565,0.613453544924067,2959277,0.612961437334584,2959277
"1.62","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.99,0.99785804493465,2795927,0.998007578649436,2792582,0.665473420196889,2959277,0.664849302846199,2959277
"1.72","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.97,0.996162553986552,2868770,0.99634256887724,2863827,0.749775162442563,2959277,0.748803851501862,2959277
"1.82","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.95,0.994572889495414,2894450,0.994777251358768,2888278,0.791983314461803,2959277,0.790724956767843,2959277
"13","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9999,0.999078597751858,1965759,0.999161058530276,1964896,0.33694735166239,2959277,0.336795547231491,2959277
"1.13","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9997,0.999052776598046,2143344,0.999132175110631,2142367,0.38716080976949,2959277,0.386986172080604,2959277
"1.23","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9995,0.999039978795951,2260350,0.999117194414529,2259304,0.422506162144968,2959277,0.422319086916242,2959277
"1.33","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.999,0.999013438390405,2440687,0.999085540774153,2439552,0.479232244403449,2959277,0.479024542421627,2959277
"1.43","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.997,0.998866038910235,2682827,0.998937700215976,2681405,0.574946595270472,2959277,0.574681795592456,2959277
"1.53","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.995,0.998714798872791,2739291,0.998786065726465,2737710,0.614097979769628,2959277,0.613797168210241,2959277
"1.63","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.99,0.998399056402913,2795927,0.998473180568135,2794042,0.666368958086962,2959277,0.665997268276356,2959277
"1.73","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.97,0.99737131016163,2868770,0.99746164722693,2866000,0.751557108213162,2959277,0.750996592710354,2959277
"1.83","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.95,0.996486181271382,2894450,0.996589614994303,2891084,0.794667752216876,2959277,0.793968203250284,2959277
"14","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9999,0.998999133716411,1965759,0.999121318670131,1964425,0.336776898249733,2959277,0.336554889598928,2959277
"1.14","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9997,0.998968291626365,2143344,0.999085155836055,2141848,0.386970413721654,2959277,0.3867157690074,2959277
"1.24","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9995,0.998952874976168,2260350,0.999066963439137,2258745,0.422303083567376,2959277,0.422029997194046,2959277
"1.34","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.999,0.99892109563531,2440687,0.999029114423015,2438927,0.479006639747483,2959277,0.478701991701614,2959277
"1.44","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.997,0.998751821705771,2682827,0.998858291463017,2680641,0.574662714427814,2959277,0.574275743021339,2959277
"1.54","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.995,0.998581260017038,2739291,0.998686274534368,2736846,0.613772122419266,2959277,0.613330223243083,2959277
"1.64","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.99,0.998222267350226,2795927,0.998332766107654,2793043,0.665963272850873,2959277,0.665422078203722,2959277
"1.74","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.97,0.99703485250108,2868770,0.997169298806038,2864599,0.750884846791727,2959277,0.750074345330945,2959277
"1.84","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.95,0.996006206047863,2894450,0.996160135061295,2889383,0.793766700316968,2959277,0.792749963006698,2959277
